project,keyword,created,seed,locations,customers,periods,patronizing,rewards,replenishment,character,updated,commit,branch,bdl_runtime,bdl_iterations,bdl_objective,bdl_solution,bdl_optgap,bd5_runtime,bd5_optgap,bd5_iterations,bd5_objective,bd5_solution,bds_runtime,bds_optgap,bds_iterations,bds_objective,bds_solution
paper1,rnd_2-50-50-5-large-inversely-mixed-homogeneous,2023-11-24 18:33,2,50,50,5,large,inversely,mixed,homogeneous,2023-11-24 18:33,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,16.66795397,-1,1777.87,14-4-21-5-45,0,106.26,0,13,1777.87,14-4-21-5-45,106.25,0,13,1777.87,14-4-21-5-45
paper1,rnd_2-50-50-10-medium-identical-absolute-homogeneous,2023-11-24 18:40,2,50,50,10,medium,identical,absolute,homogeneous,2023-11-24 18:40,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,19.94433689,-1,21300,30-39-11-29-47-23-20-38-50-44,5.73E-05,106.19,0,13,21300,33-39-11-29-47-23-20-38-50-44,106.14,0,13,21300,33-39-11-29-47-23-20-38-50-44
paper1,rnd_1-50-50-10-small-inversely-absolute-homogeneous,2023-11-25 01:00,1,50,50,10,small,inversely,absolute,homogeneous,2023-11-25 01:00,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,20.41222,-1,3430,6-20-41-49-17-22-29-23-14-24,7.65E-05,105.67,0,17,3430,41-20-6-49-17-22-23-29-14-24,105.61,0,17,3430,41-20-6-49-17-22-23-29-14-24
paper1,rnd_7-100-100-5-medium-identical-mixed-homogeneous,2023-11-24 01:43,7,100,100,5,medium,identical,mixed,homogeneous,2023-11-24 01:43,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,50.19863105,-1,75994.79,34-74-70-93-5,8.85E-05,104.51,0,10,75994.79,34-74-70-93-5,105.14,0,10,75994.79,34-74-70-93-5
paper1,rnd_9-100-100-5-small-inversely-absolute-homogeneous,2023-11-23 23:53,9,100,100,5,small,inversely,absolute,homogeneous,2023-11-23 23:53,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,42.910923,-1,2188,90-96-28-41-10,9.99E-05,99.36,0,27,2188,90-28-96-41-10,99.87,0,27,2188,90-28-96-41-10
paper1,rnd_7-50-50-5-large-inversely-absolute-homogeneous,2023-11-24 01:23,7,50,50,5,large,inversely,absolute,homogeneous,2023-11-24 01:23,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,21.39330506,-1,941,7-10-26-34-35,7.61E-05,99.33,0,12,941,7-10-26-34-35,99.49,0,12,941,7-10-26-34-35
paper1,rnd_2-50-50-10-medium-inversely-absolute-homogeneous,2023-11-24 18:40,2,50,50,10,medium,inversely,absolute,homogeneous,2023-11-24 18:40,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,59.465343,-1,3403,21-36-1-45-31-13-2-42-39-32,9.76E-05,97.18,0,14,3403,21-36-45-31-1-2-42-13-39-32,97.24,0,14,3403,21-36-45-31-1-2-42-13-39-32
paper1,rnd_5-100-100-5-medium-inversely-relative-heterogeneous,2023-11-24 10:40,5,100,100,5,medium,inversely,relative,heterogeneous,2023-11-24 10:40,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,61.82660198,-1,9105.75,93-67-56-44-90,7.82E-05,96.89,0,15,9105.75,93-67-56-44-90,96.8,0,15,9105.75,93-67-56-44-90
paper1,rnd_6-100-100-5-large-identical-absolute-homogeneous,2023-11-24 17:22,6,100,100,5,large,identical,absolute,homogeneous,2023-11-24 17:22,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,37.66550517,-1,50300,92-44-20-64-46,0,96.98,0,10,50300,88-44-20-64-46,96.77,0,10,50300,88-44-20-64-46
paper1,rnd_8-100-100-5-medium-inversely-relative-heterogeneous,2023-11-24 02:58,8,100,100,5,medium,inversely,relative,heterogeneous,2023-11-24 02:58,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,52.34767294,-1,10375.6,85-70-19-30-48,1.53E-05,96.12,0,23,10375.6,85-70-19-30-48,96.7,0,23,10375.6,85-70-19-30-48
paper1,rnd_4-50-50-10-small-identical-relative-heterogeneous,2023-11-24 22:52,4,50,50,10,small,identical,relative,heterogeneous,2023-11-24 22:52,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,29.875916,-1,75115,27-14-15-49-43-39-9-11-33-4,7.53E-05,96.23,9.16E-05,22,75115,27-14-15-49-43-39-9-11-33-4,96.34,9.16E-05,22,75115,27-14-15-49-43-39-9-11-33-4
paper1,rnd_2-50-50-5-large-inversely-relative-homogeneous,2023-11-24 18:33,2,50,50,5,large,inversely,relative,homogeneous,2023-11-24 18:33,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,20.53108597,-1,707.65,0-4-5-21-45,3.11E-05,95.81,0,13,707.65,0-4-5-21-45,95.77,0,13,707.65,0-4-5-21-45
paper1,rnd_7-100-100-5-small-inversely-relative-homogeneous,2023-11-24 01:39,7,100,100,5,small,inversely,relative,homogeneous,2023-11-24 01:39,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,58.55107617,-1,1825.03,19-18-70-98-49,9.91E-05,95.92,8.16E-05,29,1825.03,19-98-70-18-49,95.63,8.16E-05,29,1825.03,19-98-70-18-49
paper1,rnd_3-50-50-10-medium-inversely-mixed-heterogeneous,2023-11-24 21:52,3,50,50,10,medium,inversely,mixed,heterogeneous,2023-11-24 21:52,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,28.92732,-1,31269.95,24-26-46-20-47-4-39-28-14-23,8.25E-05,95.33,1.25E-05,23,31269.95,24-26-46-20-47-4-39-28-14-23,95.29,1.25E-05,23,31269.95,24-26-46-20-47-4-39-28-14-23
paper1,rnd_7-50-50-5-large-inversely-relative-heterogeneous,2023-11-24 01:23,7,50,50,5,large,inversely,relative,heterogeneous,2023-11-24 01:23,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,17.49131298,-1,3874.23,0-7-35-26-37,0,95.22,0,15,3874.23,0-7-35-26-37,95.13,0,15,3874.23,0-7-35-26-37
paper1,rnd_0-50-50-5-medium-inversely-relative-homogeneous,2023-11-24 23:42,0,50,50,5,medium,inversely,relative,homogeneous,2023-11-24 23:42,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,15.76532292,-1,881.21,16-30-27-13-37,8.37E-05,94.93,0,22,881.21,16-30-27-13-37,94.92,0,22,881.21,16-30-27-13-37
paper1,rnd_6-50-50-10-medium-identical-absolute-homogeneous,2023-11-24 16:25,6,50,50,10,medium,identical,absolute,homogeneous,2023-11-24 16:25,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,18.13822103,-1,20600,48-34-16-41-36-28-15-23-3-43,0,94.87,0,17,20600,41-16-22-45-36-28-15-23-3-43,94.81,0,17,20600,41-16-22-45-36-28-15-23-3-43
paper1,rnd_8-50-50-5-large-inversely-relative-heterogeneous,2023-11-24 02:38,8,50,50,5,large,inversely,relative,heterogeneous,2023-11-24 02:38,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,16.29710102,-1,3604.72,0-9-32-2-31,0,94.18,0,14,3604.72,0-9-32-2-31,94.2,0,14,3604.72,0-9-32-2-31
paper1,rnd_6-100-100-5-large-identical-absolute-heterogeneous,2023-11-24 17:22,6,100,100,5,large,identical,absolute,heterogeneous,2023-11-24 17:22,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,40.76342797,-1,273400,34-88-22-40-6,9.74E-05,93.81,0,11,273400,71-62-22-40-6,93.87,0,11,273400,71-62-22-40-6
paper1,rnd_6-100-100-5-small-inversely-mixed-homogeneous,2023-11-24 17:07,6,100,100,5,small,inversely,mixed,homogeneous,2023-11-24 17:07,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,55.13722301,-1,4069.85,63-43-42-61-3,7.41E-05,93.25,9.50E-05,24,4069.85,42-43-63-61-3,93.84,9.50E-05,24,4069.85,42-43-63-61-3
paper1,rnd_1-50-50-10-small-identical-relative-heterogeneous,2023-11-25 01:00,1,50,50,10,small,identical,relative,heterogeneous,2023-11-25 01:00,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,25.113168,-1,72769.34,0-41-3-26-33-19-46-13-24-14,7.56E-05,92.56,0,24,72769.34,0-41-3-26-33-19-46-13-24-14,92.61,0,24,72769.34,0-41-3-26-33-19-46-13-24-14
paper1,rnd_7-50-50-5-medium-inversely-relative-homogeneous,2023-11-24 01:22,7,50,50,5,medium,inversely,relative,homogeneous,2023-11-24 01:22,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,15.42584205,-1,881.13,2-25-1-31-37,4.05E-05,91.86,6.59E-06,23,881.13,2-25-1-31-37,91.77,6.59E-06,23,881.13,2-25-1-31-37
paper1,rnd_6-100-100-5-small-inversely-relative-homogeneous,2023-11-24 17:03,6,100,100,5,small,inversely,relative,homogeneous,2023-11-24 17:03,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,65.74577689,-1,1808.85,43-63-42-3-61,9.85E-05,91.35,9.51E-05,28,1808.85,63-43-42-3-61,91.25,9.51E-05,28,1808.85,63-43-42-3-61
paper1,rnd_2-50-50-10-small-identical-relative-heterogeneous,2023-11-24 18:36,2,50,50,10,small,identical,relative,heterogeneous,2023-11-24 18:36,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,30.36312699,-1,78203.74,26-25-13-32-21-18-47-41-50-44,9.64E-05,90.75,7.44E-05,24,78203.74,26-25-13-32-21-18-47-41-50-44,90.49,7.44E-05,24,78203.74,26-25-13-32-21-18-47-41-50-44
paper1,rnd_5-50-50-5-large-inversely-mixed-homogeneous,2023-11-24 10:20,5,50,50,5,large,inversely,mixed,homogeneous,2023-11-24 10:20,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,21.74081492,-1,1782.65,24-29-3-43-6,6.95E-05,90.46,0,12,1782.65,24-29-3-43-6,90.44,0,12,1782.65,24-29-3-43-6
paper1,rnd_4-100-100-5-small-inversely-relative-homogeneous,2023-11-24 08:38,4,100,100,5,small,inversely,relative,homogeneous,2023-11-24 08:38,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,40.46257806,-1,1820.81,95-5-35-16-17,3.34E-05,90.14,7.75E-05,35,1820.81,5-35-95-16-17,90.24,7.75E-05,35,1820.81,5-35-95-16-17
