Name,State,Notes,User,Tags,Created,Runtime,Sweep,keyword,set,S,I,J,T,replenishment,zeta,absorption,eta,ap1_objective,ap1_optgap,ap1_runtime,ap1_solution,ap1_status,ap2_objective,ap2_optgap,ap2_runtime,ap2_solution,ap2_status,ap3_objective,ap3_optgap,ap3_runtime,ap3_solution,ap3_status,hrs_objective,hrs_objgap,hrs_solution,lpr_objective,lpr_runtime,lpr_status,mip_intgap,mip_objective,mip_optgap,mip_runtime,mip_solution,mip_status,sanity_check
blooming-jazz-2027,finished,-,warleyalm,,2022-11-13T04:39:39.000Z,3,,A-8-10-10-7-linear-50-exponential-100,A,8,10,10,7,linear,50,exponential,100,832.16,0.6214,0,7-7-7-7-7-7-7,2,1305.54,0.406,0,7-7-7-7-7-5-5,2,1197.6,0.4551,0,7-10-10-10-10-10-10,2,2108.98,0.0404,7-10-6-5-7-10-6,12712.2,0.01,2,0.8271,2197.74,9.59065E-05,0.18,7-1-10-7-10-6-5,2,true
pleasant-voice-2026,finished,-,warleyalm,,2022-11-13T04:39:37.000Z,3,,A-8-10-10-7-linear-75-exponential-25,A,8,10,10,7,linear,75,exponential,25,1004.05,0.6273,0,7-7-7-7-7-7-7,2,1414.72,0.4749,0,7-7-6-6-6-6-6,2,1724.18,0.36,0,7-7-6-9-9-9-9,2,2564.51,0.0481,7-6-9-5-7-6-9,12907.82,0.01,2,0.7913,2694.19,0,0.35,7-1-10-7-9-6-5,2,true
laced-music-2025,finished,-,warleyalm,,2022-11-13T04:39:34.000Z,3,,A-7-20-20-14-exponential-50-exponential-100,A,7,20,20,14,exponential,50,exponential,100,420.31,0.9409,0,17-17-17-17-17-17-17-17-17-17-17-17-17-17,2,277.4,0.961,0,11-11-11-11-11-11-11-11-11-11-11-11-11-11,2,2929.66,0.5881,0,11-17-14-14-14-14-14-14-13-13-13-18-18-18,2,5380.12,0.2437,11-17-19-18-18-18-17-15-11-10-16-15-6-17,35742.98,0.04,2,0.801,7113.39,2.80935E-05,5.79,9-14-14-18-11-17-19-15-17-15-11-10-16-6,2,true
blooming-donkey-2024,finished,-,warleyalm,,2022-11-13T04:39:32.000Z,3,,A-8-10-10-7-linear-100-linear-100,A,8,10,10,7,linear,100,linear,100,872.9,0.2097,0,7-7-7-7-7-7-7,2,859.1,0.2222,0,6-5-5-5-5-5-5,2,942.1,0.147,0,6-6-6-6-7-7-7,2,1104.5,0,6-5-6-5-5-6-5,8962.17,0.01,2,0.8768,1104.5,0,0.04,6-5-6-5-5-6-5,2,true
dutiful-bush-2023,finished,-,warleyalm,,2022-11-13T04:39:30.000Z,2,,A-8-10-10-7-linear-75-exponential-50,A,8,10,10,7,linear,75,exponential,50,1014.83,0.6394,0,7-7-7-7-7-7-7,2,1440.03,0.4883,0,7-7-6-6-6-6-6,2,1732.19,0.3845,0,7-7-6-9-9-9-9,2,2614.69,0.0709,7-6-5-9-7-6-5,13360.72,0.01,2,0.7894,2814.21,0,0.25,7-1-10-7-9-6-5,2,true
fresh-armadillo-2022,finished,-,warleyalm,,2022-11-13T04:39:27.000Z,3,,A-8-10-10-7-linear-75-linear-25,A,8,10,10,7,linear,75,linear,25,919.8,0.1269,0,7-7-7-7-7-7-7,2,1053.5,0,0,6-6-6-6-6-6-6,2,1053.5,0,0,6-6-6-6-6-6-6,2,1053.5,0,6-6-6-6-6-6-6,8968.56,0.01,2,0.8825,1053.5,0,0.03,6-6-6-6-6-6-6,2,true
frosty-sky-2021,finished,-,warleyalm,,2022-11-13T04:39:25.000Z,2,,A-7-20-20-14-exponential-100-linear-50,A,7,20,20,14,exponential,100,linear,50,349.38,0.8618,0,18-18-18-18-18-18-18-18-18-18-18-18-18-18,2,303.44,0.88,0,11-11-11-11-11-11-11-11-11-11-11-11-11-11,2,1312.4,0.4808,0,11-18-4-4-4-4-4-4-4-4-4-4-4-4,2,2291.54,0.0934,11-18-18-18-18-18-10-16-11-11-16-11-10-16,27272.91,0.03,2,0.9073,2527.72,0,0.35,18-18-11-11-11-11-11-16-10-10-10-10-10-10,2,true
leafy-star-2020,finished,-,warleyalm,,2022-11-13T04:39:22.000Z,3,,A-8-10-10-7-linear-25-exponential-50,A,8,10,10,7,linear,25,exponential,50,814.82,0.586,0,7-7-7-7-7-7-7,2,1405.63,0.2858,0,7-7-10-10-10-10-7,2,1078.32,0.4521,0,7-10-10-10-10-10-10,2,1873.98,0.0479,7-10-6-5-7-10-6,11943.68,0.01,2,0.8352,1968.22,0,0.16,2-10-1-7-10-6-5,2,true
charmed-hill-2019,finished,-,warleyalm,,2022-11-13T04:39:20.000Z,2,,A-8-10-10-7-linear-25-linear-25,A,8,10,10,7,linear,25,linear,25,766.5,0.0492,0,10-10-10-10-10-10-10,2,806.2,0,0,6-5-5-5-5-5-5,2,771.4,0.0432,0,6-6-6-6-6-6-6,2,806.2,0,6-5-5-5-5-5-5,8546.05,0.01,2,0.9057,806.2,0,0.03,6-5-5-5-5-5-5,2,true
colorful-glitter-2018,finished,-,warleyalm,,2022-11-13T04:39:17.000Z,3,,A-8-10-10-7-linear-25-linear-75,A,8,10,10,7,linear,25,linear,75,932,0.2059,0,10-10-1-10-1-10-10,2,891.5,0.2404,0,6-7-7-7-7-7-7,2,842,0.2826,0,6-6-6-6-6-6-6,2,1159.8,0.0118,6-7-6-7-7-6-7,8845.27,0.01,2,0.8673,1173.7,0,0.03,6-7-6-6-7-7-7,2,true
